Cpu_data,time
9.8, 22:03:51
14.9, 22:03:54
2.5, 22:03:57
3.5, 22:04:00
2.5, 22:04:03
10.0, 22:04:06
10.2, 22:04:09
16.5, 22:04:12
3.6, 22:04:15
3.8, 22:04:18
12.7, 22:04:21
12.9, 22:04:22
25.0, 22:04:23
8.1, 22:04:25
8.0, 22:08:45
17.7, 22:08:46
25.6, 22:08:48
6.7, 22:08:51
9.6, 22:08:54
